name,institution,specialty,npi,location
"Dr. Mazin Issa Foteh","Baylor Scott & White Health","Vascular Surgery","1811191794","Dallas, TX"
"Dr. Jessica Shepherd","Baylor Scott & White Health","Obstetrics & Gynecology","1912160797","Dallas, TX"
"Dr. Peter A. McCullough","Baylor Scott & White Health","Internal Medicine","1386604700","Dallas, TX"
"Dr. John A. Osborne","Baylor Scott & White Health","Cardiology","1114929718","Dallas, TX"
"Dr. Oluwatosin Urowoli Smith","Baylor Scott & White Health","Ophthalmology","1134150675","Dallas, TX"
"Aaron S. Farberg, MD","Baylor Scott & White Health","Dermatology","1134480239","Dallas, TX"
"Reynolds M. Delgado III, MD","Baylor Scott & White Health","Cardiovascular Disease","1720024466","Houston, TX"
"Dr. Nadege Tacha Gunn","Baylor Scott & White Health","Gastroenterology","1902822281","Waco, TX"
"Aldona J. Spiegel","Baylor Scott & White Health","Plastic and Reconstructive Surgery","1114956778","Houston, TX"
"Zeenat Safdar","Baylor Scott & White Health","Pulmonary Disease","1669532891","Houston, TX"
