FULL_NAME,NPI,PRIMARY_SPECIALTY
Scott Richard Achramowicz,1295244630,Physician Assistant
Wajdi M Al Shweiat,1023493574,Nephrology
Salar Alam,1043705114,Internal Medicine
Rachel Albertin,1104597665,Physician Assistant
Kristina Aleksoniene,1659545002,Hospitalist
Sydney Alexander,1144952698,Family Practice
Sigita G Alimenti,1053376202,Family Practice
Timothy Amborski,1629578703,Nurse - Nurse Practitioner
Desire M Andersen,1093033029,Pediatric Medicine
Kathleen M Andries,1588623276,Internal Medicine
Kailyn Angelakos,1942825229,Physician Assistant
Thomas F Armstrong,1396967147,Other
Fabian Jorge Arnaldo,1245382852,Cardiology - Cardiac Electrophysiology
Dilip S Arora,1225098114,Cardiology - Cardiologist
Rafid R Asfar,1639468747,Rheumatology
Michele L Ashton,1295763159,Obstetrics/Gynecology
Dania Atallah,1417642141,Other
Reyan Atassi,1841040268,Other
Cassandra Dawn Ault,1487315404,Physician Assistant
Polya Baghelai,1912942061,Radiology - Diagnostic Radiology
Kourosh Baghelai,1366434987,Cardiology - Cardiac Surgery
Shaun Baker,1093252074,Physician Assistant
Jessica Lynn Ball,1770011108,Physician Assistant
Brendan Michael Banyon,1013100312,Radiology - Diagnostic Radiology
John L Bard,1154358331,Obstetrics/Gynecology
Brendan A Barnes,1073018917,Family Practice
Brock Patrick Barnett,1346922341,Nurse - Nurse Practitioner
Ashley Barrios,1659119535,Anesthesiology - Certified Registered Nurse Anesthetist
Pamela A Bartley,1063886505,Physician Assistant
Melissa M Bartoszewicz,1699183822,Nurse - Nurse Practitioner
Kathleen B Basha,1083932685,Physician Assistant
Brian Elbert Bates,1558317446,Surgery - General Surgery
Charlene M Baumgartner,1861466005,Physician Assistant
Michael R Baumgartner,1578124970,Hospitalist
Tawan Kaithep Beaumont,1508616160,Other
Jillian Beck,1376184515,Physician Assistant
Betsy Marie Becker,1427433176,Nurse - Nurse Practitioner
Erin K Beckman,1538812359,Nurse - Certified Nurse Midwife
Jason Richard Beckrow,1578500542,Oncology - Hematology/Oncology
Courtney E Bell,1134708001,Internal Medicine
Noel Bell,1942249628,Anesthesiology - Anesthesiologist
Heidi Rebecca Bell,1821223488,Nurse - Nurse Practitioner
Alexi Bellchambers,1881161214,Physician Assistant
Modupe Olutofunmi Bello,1588143721,Nurse - Nurse Practitioner
Daniel K Benson,1851770465,Family Practice
Jennifer A Benson,1548548084,Physician Assistant
Amanda Cayo Bentley,1265157812,Nurse - Nurse Practitioner
Michael V Bergquist,1174570303,Internal Medicine
Miguel Enrique Bermeo,1811167216,Obstetrics/Gynecology
Michael E Berry,1669496600,Surgery - Hand Surgery
Diego P Betita,1023072493,Anesthesiology - Anesthesiologist
Sabina J Bett,1508503376,Nurse - Nurse Practitioner
Jonathan M Beyer,1811121593,Emergency Medicine
Hilary L Beyerlein-Ujla,1053829937,Physician Assistant
Heidi Marie Bickel,1538704101,Nurse - Nurse Practitioner
Jamie Kristin Birris,1396926820,Psychology - Clinical Psychologist
Thomas Ryan Birris,1003083627,Internal Medicine
Jacob Clarence Blazo,1861716748,Internal Medicine
Sandra Sloane Blix,1982679080,Anesthesiology - Certified Registered Nurse Anesthetist
Angela J Blomgren,1821272402,Physician Assistant
Vincent Michael Blum,1649441486,Emergency Medicine
