Primary_Specialty,prescriber_count,total_prescriptions,total_payments,total_patients,avg_payment,avg_cost_per_prescription
Internal Medicine,1307,36804270.000000000,2225220571.653619000,32341561.000000000,116.214406163,60.460934877
Nurse - Nurse Practitioner,2514,25416854.000000000,2077204226.669370000,22129595.000000000,154.429710178,81.725465578
Family Practice,1187,39993816.000000000,2035714192.864752000,35267455.000000000,98.083494208,50.900724074
Physician Assistant,2079,23567478.000000000,1939693817.521781000,20841028.000000000,161.295106251,82.303834866
Rheumatology,43,1236068.000000000,800007443.350798000,1051390.000000000,1369.069321069,647.219605516
Dermatology,146,2976550.000000000,739934087.643086000,2566620.000000000,529.276677308,248.587824039
Neurology,183,3031164.000000000,705511849.851839000,2574796.000000000,430.150022499,232.752780731
Endocrinology,63,2432958.000000000,676883643.508801000,2011787.000000000,557.141646549,278.214273945
Oncology - Hematology/Oncology,66,792964.000000000,533222975.284664000,668359.000000000,1278.479162754,672.442854007
Gastroenterology,110,1298527.000000000,484160474.253987000,1118782.000000000,764.274849254,372.853605858
Cardiology - Cardiologist,209,4071606.000000000,416702904.127414000,3627620.000000000,186.948721192,102.343621688
Psychiatry,232,5397843.000000000,369347918.411028000,4728813.000000000,127.821198959,68.425094693
Pediatric Medicine,635,6719342.000000000,314090269.477367000,5479782.000000000,110.548104514,46.744200470
Pulmonary Disease,102,796932.000000000,238368552.820077000,653788.000000000,552.909193607,299.107769320
Infectious Disease,75,384462.000000000,225613427.844367000,328573.000000000,1126.478804108,586.828939777
Oncology - Medical Oncology,25,313162.000000000,211911221.140497000,263138.000000000,1258.858599114,676.682423603
Allergy/Immunology,58,1478053.000000000,197653966.167389000,1162632.000000000,302.476178344,133.725898982
Obstetrics/Gynecology,504,3406585.000000000,140867674.776901000,2945549.000000000,78.940638471,41.351580770
Endocrinology - Pediatric,11,277120.000000000,131825748.699548000,185903.000000000,1099.831042045,475.699150908
Ophthalmology,190,1548960.000000000,116537780.516483000,1322582.000000000,160.996473754,75.236145876
Urology,105,1303035.000000000,97937510.057112000,1156721.000000000,171.647642032,75.161073998
Cardiology - Interventional Cardiology,43,1101888.000000000,97836302.604773000,991573.000000000,158.691206457,88.789697868
Nephrology,93,861775.000000000,88538934.541074000,765847.000000000,179.098820169,102.740198475
General Practice,46,1642830.000000000,77143145.103924000,1399053.000000000,96.605961805,46.957472839
Gastroenterology - Pediatric,16,171542.000000000,62678443.888021000,128145.000000000,777.339566029,365.382494596
Oncology - Pediatric Hematology/Oncology,16,47223.000000000,49366149.339069000,34342.000000000,2106.513733265,1045.383591451
Cardiology - Cardiac Electrophysiology,13,241923.000000000,43846468.312884000,216911.000000000,375.706645127,181.241421084
Rheumatology - Pediatric,4,33251.000000000,42707654.342300000,23029.000000000,2970.347360015,1284.402103465
Endocrinology - Reproductive,9,135172.000000000,38112744.634970000,108085.000000000,775.800367109,281.957392322
Surgery - Colorectal Surgery (formerly proctology),31,175719.000000000,33383895.775730000,150900.000000000,395.942546116,189.984553610
Physical Medicine and Rehabilitation,134,1160006.000000000,32265341.725192000,1016331.000000000,50.954635970,27.814805893
Otolaryngology,92,914064.000000000,30598385.338761000,795376.000000000,74.085050588,33.475101676
Hospitalist,84,531720.000000000,30488695.342876000,449311.000000000,111.515992359,57.339756531
Emergency Medicine,502,1470316.000000000,27263773.203761000,1330608.000000000,38.080342038,18.542798421
Other,184,329420.000000000,16837380.450014000,285089.000000000,103.066651466,51.112198561
Sleep Medicine,9,58836.000000000,16756977.515224000,51648.000000000,559.311666062,284.808238412
Optometry,30,135237.000000000,14569521.711238000,116841.000000000,211.827881815,107.733251338
Adolescent Medicine,24,480861.000000000,14461973.385536000,391634.000000000,68.380387935,30.075163895
Surgery - Orthopedic Surgery,247,836711.000000000,13446072.812127000,740844.000000000,35.135953957,16.070151835
Geriatric Medicine,21,231281.000000000,12620545.814633000,206550.000000000,93.232071440,54.568018188
Anesthesiology - Anesthesiologist,254,455352.000000000,12162276.153176000,397742.000000000,49.206117867,26.709613998
