drug_name,manufacturer_group,year,prescribers,total_patients,total_prescriptions,total_payment
Trulicity,Eli Lilly,2020.000000000,1604,53733.000000000,69003.000000000,51477692.260750000
Victoza,Novo Nordisk,2020.000000000,1463,26913.000000000,36358.000000000,30158667.027330000
Ozempic,Novo Nordisk,2020.000000000,1060,27761.000000000,38943.000000000,27127851.437760000
Bydureon,AstraZeneca,2020.000000000,617,6182.000000000,8140.000000000,6762916.589920000
Saxenda,Novo Nordisk,2020.000000000,459,4784.000000000,6355.000000000,5256013.490760000
Rybelsus,Novo Nordisk,2020.000000000,348,3733.000000000,5001.000000000,3144282.266000000
Other GLP-1,Novo Nordisk,2020.000000000,198,1625.000000000,2089.000000000,1499781.779100000
Byetta,AstraZeneca,2020.000000000,93,394.000000000,475.000000000,423694.415840000
Trulicity,Eli Lilly,2021.000000000,2074,80260.000000000,100658.000000000,81138608.182500000
Ozempic,Novo Nordisk,2021.000000000,1547,42473.000000000,57031.000000000,44401001.963530000
Victoza,Novo Nordisk,2021.000000000,1587,30748.000000000,40477.000000000,34855900.403000000
Rybelsus,Novo Nordisk,2021.000000000,681,9260.000000000,12122.000000000,9140391.422700000
Bydureon,AstraZeneca,2021.000000000,552,4989.000000000,6647.000000000,5731879.593000000
Saxenda,Novo Nordisk,2021.000000000,487,3912.000000000,5367.000000000,3686560.356700000
Wegovy,Novo Nordisk,2021.000000000,326,2570.000000000,3311.000000000,2740268.513000000
Other GLP-1,Novo Nordisk,2021.000000000,167,1179.000000000,1447.000000000,1275910.144300000
Byetta,AstraZeneca,2021.000000000,82,353.000000000,465.000000000,382160.093260000
Trulicity,Eli Lilly,2022.000000000,2545,137401.000000000,174741.000000000,143982661.639620000
Ozempic,Novo Nordisk,2022.000000000,2330,78690.000000000,112267.000000000,85724185.792950000
Victoza,Novo Nordisk,2022.000000000,1598,25596.000000000,31353.000000000,25495240.625900000
Saxenda,Novo Nordisk,2022.000000000,971,12912.000000000,18607.000000000,15358249.018000000
Rybelsus,Novo Nordisk,2022.000000000,983,13841.000000000,17915.000000000,14897756.978380000
Mounjaro,Eli Lilly,2022.000000000,1073,16229.000000000,27799.000000000,14737803.246500000
Wegovy,Novo Nordisk,2022.000000000,962,10117.000000000,14493.000000000,10865606.874000000
Bydureon,AstraZeneca,2022.000000000,382,2380.000000000,2944.000000000,2668367.682100000
Other GLP-1,Novo Nordisk,2022.000000000,133,830.000000000,1013.000000000,945788.840300000
Byetta,AstraZeneca,2022.000000000,65,240.000000000,287.000000000,225373.474000000
Trulicity,Other,2022.000000000,6,8.000000000,16.000000000,2905.430000000
Wegovy,Other,2022.000000000,3,4.000000000,20.000000000,
Ozempic,Other,2022.000000000,17,20.000000000,47.000000000,
Trulicity,Eli Lilly,2023.000000000,2914,167755.000000000,214740.000000000,202352390.723890000
Ozempic,Novo Nordisk,2023.000000000,2860,138233.000000000,192364.000000000,148837015.019930000
Wegovy,Novo Nordisk,2023.000000000,2321,81479.000000000,118339.000000000,104099139.041314000
Mounjaro,Eli Lilly,2023.000000000,2170,90104.000000000,120088.000000000,88930271.134000000
Saxenda,Novo Nordisk,2023.000000000,1165,15555.000000000,25991.000000000,22362133.948000000
Victoza,Novo Nordisk,2023.000000000,1460,18146.000000000,22723.000000000,21982625.710700000
Rybelsus,Novo Nordisk,2023.000000000,1247,16205.000000000,20636.000000000,20131100.326000000
Bydureon,AstraZeneca,2023.000000000,241,1119.000000000,1372.000000000,1338369.107900000
Other GLP-1,Novo Nordisk,2023.000000000,110,599.000000000,757.000000000,996170.325100000
Other GLP-1,Eli Lilly,2023.000000000,365,980.000000000,1389.000000000,456183.410000000
Byetta,AstraZeneca,2023.000000000,48,112.000000000,121.000000000,111845.118000000
Wegovy,Other,2023.000000000,1,1.000000000,11.000000000,
Trulicity,Other,2023.000000000,4,5.000000000,8.000000000,
Mounjaro,Eli Lilly,2024.000000000,2790,147331.000000000,188762.000000000,152979983.780500000
Trulicity,Eli Lilly,2024.000000000,2893,101350.000000000,131359.000000000,124013997.337580000
Wegovy,Novo Nordisk,2024.000000000,2765,100200.000000000,124076.000000000,117739034.465138000
Ozempic,Novo Nordisk,2024.000000000,3004,117551.000000000,145641.000000000,116467909.870200000
Other GLP-1,Eli Lilly,2024.000000000,2221,64268.000000000,79907.000000000,38775111.940000000
Rybelsus,Novo Nordisk,2024.000000000,1297,12308.000000000,15117.000000000,16246123.846000000
Victoza,Novo Nordisk,2024.000000000,953,5414.000000000,7393.000000000,5406885.477940000
Saxenda,Novo Nordisk,2024.000000000,573,2391.000000000,3688.000000000,3502339.393200000
Other GLP-1,Novo Nordisk,2024.000000000,99,478.000000000,577.000000000,755516.887100000
Bydureon,AstraZeneca,2024.000000000,154,610.000000000,713.000000000,703096.270600000
Other GLP-1,Other,2024.000000000,148,328.000000000,382.000000000,240916.120000000
Byetta,AstraZeneca,2024.000000000,40,117.000000000,149.000000000,106568.544300000
Ozempic,Other,2024.000000000,1,1.000000000,1.000000000,884.310000000
Wegovy,Other,2024.000000000,1,1.000000000,1.000000000,
