npi,provider_name,Primary_Specialty,Primary_Hospital_Affiliation,program_year,payment_type,product_category,transaction_count,total_payment,avg_payment
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2021,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,23,61880.000000000,2690.434782609
1457687584,"Mohamad, Tamam ",Cardiology - Interventional Cardiology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,10,54375.000000000,5437.500000000
1831341130,"Dagen, Mary Margaret",Family Practice,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,15,44311.350000000,2954.090000000
1831341130,"Dagen, Mary Margaret",Family Practice,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Wegovy,13,39920.500000000,3070.807692308
1538112917,"Schmeltz, Lowell R",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2021,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,17,36050.000000000,2120.588235294
1003038605,"Selfe, Robert Ward",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,15,35678.750000000,2378.583333333
1831341130,"Dagen, Mary Margaret",Family Practice,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Wegovy,11,32496.700000000,2954.245454545
1538112917,"Schmeltz, Lowell R",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,14,30870.000000000,2205.000000000
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,11,29665.000000000,2696.818181818
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Wegovy,8,28714.000000000,3589.250000000
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,8,26180.000000000,3272.500000000
1477560308,"Al-Kassab, Abdul K",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,11,25580.750000000,2325.522727273
1003038605,"Selfe, Robert Ward",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2021,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,9,22389.000000000,2487.666666667
1457687584,"Mohamad, Tamam ",Cardiology - Interventional Cardiology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2021,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,5,22050.000000000,4410.000000000
1700992054,"Katzman, Steven M",Internal Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,9,21377.500000000,2375.277777778
1477558450,"Grunberger, George ",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2021,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,8,20620.000000000,2577.500000000
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,8,20094.000000000,2511.750000000
1538112917,"Schmeltz, Lowell R",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,7,19481.880000000,2783.125714286
1457687584,"Mohamad, Tamam ",Cardiology - Interventional Cardiology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,4,19231.250000000,4807.812500000
1477558450,"Grunberger, George ",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2021,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,5,18800.000000000,3760.000000000
1649238213,"Verma, Ashish ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,7,18088.000000000,2584.000000000
1457687584,"Mohamad, Tamam ",Cardiology - Interventional Cardiology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,7,17826.000000000,2546.571428571
1689889388,"Brennan, Michael R",Endocrinology,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2023,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Other Novo Products,5,16623.000000000,3324.600000000
1831488774,"Egan, Celia Marie Vihtelic",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2024,Consulting Fee,Other Novo Products,4,16500.000000000,4125.000000000
1538112917,"Schmeltz, Lowell R",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2020,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,9,16310.000000000,1812.222222222
1700992054,"Katzman, Steven M",Internal Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2021,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,8,15640.000000000,1955.000000000
1457687584,"Mohamad, Tamam ",Cardiology - Interventional Cardiology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2024,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,7,15426.000000000,2203.714285714
1649238213,"Verma, Ashish ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2021,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Rybelsus,8,14377.500000000,1797.187500000
1003038605,"Selfe, Robert Ward",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2022,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,5,14195.000000000,2839.000000000
1003038605,"Selfe, Robert Ward",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2021,"Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",Ozempic,6,13498.000000000,2249.666666667
