Primary_Specialty,received_novo_payment,npi,total_prescriptions,total_payment
Addiction Medicine,0,1,206.000000000,171060.577000000
Adolescent Medicine,0,1,8.000000000,3952.333000000
Adolescent Medicine,1,1,20.000000000,19191.338000000
Allergy/Immunology,0,6,94.000000000,74470.267500000
Allergy/Immunology,1,1,1.000000000,621.140000000
Anesthesiology - Anesthesiologist,0,4,5.000000000,3806.640000000
Cardiology - Cardiac Electrophysiology,1,1,5.000000000,5009.960000000
Cardiology - Cardiologist,0,40,474.000000000,353561.196360000
Cardiology - Cardiologist,1,28,3014.000000000,2402404.696100000
Cardiology - Interventional Cardiology,0,4,76.000000000,51513.709000000
Cardiology - Interventional Cardiology,1,9,2100.000000000,1756840.643000000
Critical Care (Intensivists),0,1,13.000000000,11117.519000000
Dermatology,0,8,43.000000000,14524.986000000
Emergency Medicine,0,17,286.000000000,192469.013000000
Emergency Medicine,1,2,19.000000000,15796.210000000
Emergency Medicine - Pediatric,0,1,4.000000000,3033.004000000
Endocrinology,0,18,8745.000000000,7921954.560900000
Endocrinology,1,43,81744.000000000,73887340.274960000
Endocrinology - Pediatric,0,6,56.000000000,25116.152000000
Endocrinology - Pediatric,1,2,262.000000000,147907.311000000
Endocrinology - Reproductive,0,2,7.000000000,4976.900000000
Family Practice,0,550,62126.000000000,44587067.057780000
Family Practice,1,430,96822.000000000,69762978.633720000
Gastroenterology,0,13,85.000000000,52413.960000000
General Practice,0,19,890.000000000,645541.751500000
General Practice,1,10,2715.000000000,2233827.481800000
Geriatric Medicine,0,5,209.000000000,182858.019500000
Geriatric Medicine,1,1,215.000000000,165385.677000000
Hematology,0,1,19.000000000,13499.139000000
Hospice and Palliative Care,0,2,40.000000000,27937.642000000
Hospitalist,0,22,2010.000000000,1058605.491600000
Hospitalist,1,4,268.000000000,238105.692500000
Infectious Disease,0,4,145.000000000,69664.280000000
Infectious Disease,1,1,148.000000000,107361.936000000
Internal Medicine,0,420,35426.000000000,26983796.828210000
Internal Medicine,1,434,107569.000000000,83344020.609270000
Nephrology,0,23,159.000000000,130419.992000000
Nephrology,1,9,1483.000000000,1319969.111200000
Neurology,0,15,44.000000000,31752.368680000
Nurse - Certified Nurse Midwife,0,4,54.000000000,26339.832000000
Nurse - Nurse Practitioner,0,441,19980.000000000,15758471.214410000
Nurse - Nurse Practitioner,1,353,48788.000000000,37783698.716120000
Obstetrics/Gynecology,0,24,802.000000000,367994.291000000
Obstetrics/Gynecology,1,12,839.000000000,636304.219500000
Oncology - Hematology/Oncology,0,8,57.000000000,54323.877000000
Ophthalmology,0,4,7.000000000,4916.010000000
Osteopathic Manipulative Medicine,0,1,60.000000000,56977.390000000
Osteopathic Manipulative Medicine,1,3,957.000000000,970960.072500000
Other,0,22,1317.000000000,882757.845000000
Other,1,5,154.000000000,111475.425000000
Otolaryngology,0,1,9.000000000,2525.230000000
Pain Management,0,1,30.000000000,31498.856000000
Pediatric Medicine,0,28,1161.000000000,789200.956500000
Pediatric Medicine,1,7,1493.000000000,997693.387300000
Physical Medicine and Rehabilitation,0,6,44.000000000,82568.032000000
Physician Assistant,0,286,17852.000000000,12325124.453960000
Physician Assistant,1,286,44325.000000000,33100209.445000000
Podiatry,0,3,23.000000000,20877.792000000
Podiatry,1,1,11.000000000,4799.180000000
Preventive Medicine,0,1,104.000000000,59691.823500000
Psychiatry,0,14,373.000000000,274890.735000000
Pulmonary Disease,0,12,63.000000000,47813.510000000
Pulmonary Disease,1,1,4.000000000,1670.822000000
Radiology - Diagnostic Radiology,0,3,5.000000000,3328.291000000
Radiology - Radiation Oncology,0,1,41.000000000,22621.930000000
Rheumatology,0,1,3.000000000,2699.880000000
Rheumatology,1,1,1.000000000,860.040000000
Rheumatology - Pediatric,0,1,2.000000000,1587.320000000
Sports Medicine,0,2,10.000000000,3776.440000000
Surgery - Colorectal Surgery (formerly proctology),0,1,1.000000000,553.490000000
Surgery - Foot and Ankle,0,1,6.000000000,3033.004000000
Surgery - General Surgery,0,5,79.000000000,40969.168000000
Surgery - General Surgery,1,1,5.000000000,2527.680000000
Surgery - Neurosurgery,0,2,8.000000000,5307.754000000
Surgery - Orthopedic Spine Surgery,0,1,3.000000000,2796.510000000
Surgery - Orthopedic Surgery,0,6,14.000000000,9846.451000000
Surgery - Plastic and Reconstructive Surgery,0,3,13.000000000,11585.772000000
Surgery - Thoracic Surgery,0,4,9.000000000,8406.007500000
Surgery - Vascular Surgery,0,1,1.000000000,880.710000000
Surgery - Vascular Surgery,1,1,1.000000000,20.010000000
Urology,0,5,30.000000000,23390.718500000
