npi,year,BRAND_NAME,GENERIC_NAME,MANUFACTURER,unique_patients,total_prescriptions,total_payment,total_days_supply,provider_name,Primary_Specialty,Primary_Hospital_Affiliation,received_novo_payment,total_novo_payments,novo_transaction_count,ozempic_specific_payments
1265559488,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,1332.000000000,2016.000000000,2102023.026000000,98148.000000000,"Hammoude, Mohammad A",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,1520.850000000,80,940.980000000
1639195456,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,1150.000000000,1826.000000000,1882484.781000000,88673.000000000,"Saleh, Mohammad J",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,2093.320000000,180,1392.720000000
1477560308,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,1019.000000000,1627.000000000,1760943.288000000,86054.000000000,"Al-Kassab, Abdul K",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,74511.830000000,107,15291.540000000
1427345065,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,1291.000000000,1803.000000000,1488462.805000000,63558.000000000,"Achira, Ali Alexandru",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1406.350000000,115,583.350000000
1609054899,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,774.000000000,1202.000000000,1435617.368000000,70308.000000000,"Dlewati, Abdallah ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,535.670000000,29,113.980000000
1265559488,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,863.000000000,1157.000000000,1376768.872000000,60996.000000000,"Hammoude, Mohammad A",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,1520.850000000,80,940.980000000
1265559488,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,933.000000000,1411.000000000,1298546.664000000,68763.000000000,"Hammoude, Mohammad A",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,1520.850000000,80,940.980000000
1639195456,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,837.000000000,1351.000000000,1251598.188800000,63315.000000000,"Saleh, Mohammad J",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,2093.320000000,180,1392.720000000
1477560308,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,751.000000000,1097.000000000,1243629.064000000,59884.000000000,"Al-Kassab, Abdul K",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,74511.830000000,107,15291.540000000
1346446143,2023.000000000,OZEMPIC,semaglutide,Novo Nordisk,654.000000000,919.000000000,1179384.056000000,51275.000000000,"Khoury, Nadia ",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1664.410000000,141,880.540000000
1861606808,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,1129.000000000,1397.000000000,1136870.489000000,44432.000000000,"Elkadry, Ayman H",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,1569.330000000,82,720.100000000
1609054899,2022.000000000,OZEMPIC,semaglutide,Novo Nordisk,674.000000000,1089.000000000,1135559.318000000,58301.000000000,"Dlewati, Abdallah ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),1,535.670000000,29,113.980000000
1639195456,2024.000000000,OZEMPIC,semaglutide,Novo Nordisk,721.000000000,934.000000000,1110183.704000000,46083.000000000,"Saleh, Mohammad J",Endocrinology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),1,2093.320000000,180,1392.720000000
