year,payment_status,providers,total_ozempic_rx,total_wegovy_rx,total_trulicity_rx,total_mounjaro_rx,total_novo_product_revenue,total_lilly_product_revenue
2020.000000000,Both Manufacturers,758,26863.000000000,0E-9,41403.000000000,0E-9,19163093.316600000,31233719.383350000
2020.000000000,Lilly Only,115,1610.000000000,0E-9,3174.000000000,0E-9,994966.375680000,2353502.999600000
2020.000000000,No Payments,654,5579.000000000,0E-9,14542.000000000,0E-9,3684805.575630000,10858264.451200000
2020.000000000,Novo Only,251,4891.000000000,0E-9,9884.000000000,0E-9,3284986.169850000,7032205.426600000
2021.000000000,Both Manufacturers,956,38210.000000000,2413.000000000,59188.000000000,0E-9,32319950.954430000,48592428.729000000
2021.000000000,Lilly Only,156,2745.000000000,134.000000000,5206.000000000,0E-9,2126472.253200000,4098384.123500000
2021.000000000,No Payments,915,9059.000000000,261.000000000,22783.000000000,0E-9,7335689.211600000,18131824.306800000
2021.000000000,Novo Only,318,7017.000000000,503.000000000,13481.000000000,0E-9,5359158.057300000,10315971.023200000
2022.000000000,Both Manufacturers,1067,68963.000000000,8298.000000000,99874.000000000,15939.000000000,60849075.259620000,90943637.657520000
2022.000000000,Lilly Only,218,5914.000000000,598.000000000,10899.000000000,2968.000000000,4798023.700000000,10695468.166000000
2022.000000000,No Payments,1333,23929.000000000,3502.000000000,43322.000000000,4186.000000000,19652856.448990000,37935115.996280000
2022.000000000,Novo Only,394,13508.000000000,2115.000000000,20662.000000000,4706.000000000,11289837.258340000,19149148.496320000
2023.000000000,Both Manufacturers,1149,113603.000000000,68221.000000000,114242.000000000,72100.000000000,151250707.732880000,163076813.419360000
2023.000000000,Lilly Only,285,10244.000000000,5242.000000000,16108.000000000,8566.000000000,12340158.726800000,21179578.104650000
2023.000000000,No Payments,1743,46982.000000000,26749.000000000,61537.000000000,22711.000000000,57822308.518385000,73304661.197070000
2023.000000000,Novo Only,438,21535.000000000,18138.000000000,22861.000000000,16711.000000000,31522979.083179000,33721609.136810000
2024.000000000,Both Manufacturers,1168,82083.000000000,69105.000000000,61968.000000000,110784.000000000,133640439.528158000,151186515.041280000
2024.000000000,Lilly Only,281,8143.000000000,6157.000000000,9336.000000000,11346.000000000,12177724.298200000,17873368.061820000
2024.000000000,No Payments,1913,39081.000000000,31497.000000000,44974.000000000,42874.000000000,59693974.342980000,75112178.814150000
2024.000000000,Novo Only,464,16335.000000000,17318.000000000,15081.000000000,23758.000000000,28695690.476000000,32821919.200830000
