NPI,Full_Name,Primary Specialty,Primary Hospital Affiliation,source_hospital_system,HQ_STATE
1194753186,"Aaberg, Thomas Marshall",Ophthalmology,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1801093968,"Aaberg, Melanie Lynn",Emergency Medicine,Corewell Health Trenton Hospital (FKA Beaumont Hospital - Trenton),BHSH,MI
1467181982,"Aalabdulrasul, Hauraa ",Physician Assistant,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1841794211,"Abaab Drira, Leila ",Anesthesiology - Anesthesiologist,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1184050098,"Abadir, Amir ",Gastroenterology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),BHSH,MI
1457460222,"Abai, Uaye Juliet",Nurse - Nurse Practitioner,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1346826849,"Abazid, Heba S",Nurse - Nurse Practitioner,Corewell Health Taylor Hospital (FKA Beaumont Hospital - Taylor),BHSH,MI
1730362674,"Abbas, Shan E",Neurology,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1104319672,"Abbas, Danya Alawie",Emergency Medicine,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),BHSH,MI
1982352811,"Abbas, Mariam Abdul-Hussein",Nurse - Nurse Practitioner,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1356857056,"Abbas, Leila ",Nurse - Nurse Practitioner,Corewell Health Wayne Hospital (FKA Beaumont Hospital - Wayne),BHSH,MI
1629649736,"Abbas, Hassan ",Anesthesiology - Certified Registered Nurse Anesthetist,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),BHSH,MI
1346290046,"Abbas, Amr E",Cardiology - Interventional Cardiology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1083778690,"Abbasi, Sami Adnan",Dermatology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),BHSH,MI
1003245622,"Abbass, Mary Ann ",Nurse - Certified Nurse Midwife,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
1174052187,"Abbey, Nicholas Thomas",Psychiatry,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1144774019,"Abbgy, Nicole Renee",Nurse - Nurse Practitioner,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),BHSH,MI
1184605388,"Abbo, Marisa Rose",Family Practice,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),BHSH,MI
