drug_count,provider_count,total_payments,total_prescriptions,avg_payments_per_provider
2,99654,177630085.027061000,1102715.000000000,1872.885558524
3,43500,137767737.255082000,892752.000000000,3222.184892298
4,20173,94965093.346210000,631075.000000000,4742.563591001
5,11181,75583121.271408000,495568.000000000,6792.767257249
6,7051,74780712.497323000,467837.000000000,10651.005910458
7,5150,89658902.596501000,505463.000000000,17460.351041188
8,4167,105925787.838212000,563550.000000000,25469.052137103
9,3277,130512184.918244000,649720.000000000,39826.727164554
10,2906,166858681.589814000,783426.000000000,57418.679143088
11,2488,195323338.845028000,892954.000000000,78506.165130638
12,2094,209899396.944196000,964554.000000000,100238.489467142
13,1643,204156542.381682000,959297.000000000,124258.394632795
14,1341,204964171.034123000,938498.000000000,152844.273701807
15,1048,177953763.669604000,818963.000000000,169803.209608401
16,688,127135099.546550000,595993.000000000,184789.388875799
17,555,121919944.095195000,560234.000000000,219675.574946297
18,400,99001754.850378000,446823.000000000,247504.387125945
19,260,78465663.796550000,362856.000000000,301791.014602115
20,188,57414678.223972000,256898.000000000,305397.224595596
21,126,35369139.986626000,190886.000000000,280707.460211317
22,77,28103027.178743000,134118.000000000,364974.378944714
23,73,33686076.592588000,163673.000000000,461453.104008055
24,53,30897380.390375000,153874.000000000,582969.441327830
25,30,13443753.098663000,82085.000000000,448125.103288767
26,24,9776490.125134000,89554.000000000,407353.755213917
27,18,8285910.658445000,57517.000000000,460328.369913611
28,14,13293787.084036000,132053.000000000,949556.220288286
29,9,9429204.818620000,42707.000000000,1047689.424291111
30,5,4230034.222920000,25558.000000000,846006.844584000
31,2,805025.032430000,7030.000000000,402512.516215000
32,2,716267.784555000,3981.000000000,358133.892277500
33,1,1841246.397770000,7081.000000000,1841246.397770000
