state,unique_providers,payment_count,total_amount,avg_amount
MN,615,3730,12303505.400000000,3298.526916890
CA,4048,35373,5100145.610000000,144.181879117
TX,2725,25292,2851152.490000000,112.729419975
TN,774,7985,2848747.290000000,356.762340639
FL,2371,20434,2482346.080000000,121.481162768
NY,1888,18524,2083040.770000000,112.450916109
OH,1392,10624,1942403.480000000,182.831652861
NC,1077,9772,1365438.630000000,139.729700164
VA,1504,13985,1187257.020000000,84.895031820
WA,803,6408,1153751.200000000,180.048564295
PA,1432,12384,1117766.940000000,90.258958333
IL,1247,9274,1102545.500000000,118.885648048
MA,666,3937,892856.290000000,226.785951232
MI,1086,7763,775068.790000000,99.841400232
MD,581,4541,708618.540000000,156.049006827
GA,921,9074,678597.250000000,74.784797223
KY,519,5190,550136.490000000,105.999323699
CO,703,6050,543450.760000000,89.826571901
AZ,757,5570,525132.110000000,94.278655296
MO,888,7922,521786.660000000,65.865521333
SC,491,5709,506889.630000000,88.787813978
UT,320,2524,493021.340000000,195.333335975
SD,161,1139,446214.290000000,391.759692713
NJ,861,7317,403108.400000000,55.092032254
WI,639,4344,396253.740000000,91.218632597
LA,489,5948,327660.170000000,55.087452925
AL,537,5470,325598.650000000,59.524433272
IN,789,5505,268985.380000000,48.862012716
NV,299,3141,267629.560000000,85.205208532
OK,470,5905,254723.520000000,43.136921253
