product_name,unique_providers,payment_count,total_amount,avg_amount,median_amount
HYDRUS Microstent,5761,17470,9882744.750000000,565.698039496,23.970000000
TOTAL30,19391,64996,4079413.900000000,62.764076251,20.620000000
Clareon,11510,41910,3967479.430000000,94.666653066,23.790000000
Precision 1,17428,56684,2520961.000000000,44.473943264,19.340000000
DAILIES TOTAL1,5795,13397,2141345.220000000,159.837666642,24.710000000
DAILIES,12512,34440,1591489.590000000,46.210499129,18.720000000
Constellation,968,2725,1509922.750000000,554.100091743,110.800000000
ARGOS,4676,13655,1272187.370000000,93.166413036,21.680000000
AcrySof IQ PanOptix,5223,11143,1235173.470000000,110.847480032,22.310000000
AIR OPTIX,1682,5676,1220586.020000000,215.043343904,100.000000000
NGENUITY,1349,3111,1176681.590000000,378.232590807,82.490000000
Centurion,3769,8034,1042265.750000000,129.731858352,23.960000000
LenSx,1140,2689,969103.030000000,360.395325400,41.670000000
Rocklatan,6765,19595,943536.530000000,48.151902526,19.430000000
AcrySof IQ PanOptix UV IOL,2465,4407,909476.630000000,206.370916723,26.330000000
ILUX,2613,4706,885928.450000000,188.255089248,21.060000000
AcrySof IQ VIVITY IOL,3368,5596,797520.580000000,142.516186562,23.900000000
AcrySof,1965,3542,646734.620000000,182.590237154,24.260000000
Wavelight Refractive Suite,1214,2687,634460.350000000,236.122199479,39.070000000
AcrySof IQ VIVITY,1594,2460,586805.800000000,238.538943089,24.100000000
rocklatan,3197,5148,482126.980000000,93.653259518,19.040000000
rhopressa,2442,3654,411773.020000000,112.691029009,19.420000000
Luxor,700,1051,400497.450000000,381.063225500,23.790000000
Simbrinza,4851,10358,359160.570000000,34.674702645,19.000000000
Systane,189,377,337330.170000000,894.774986737,210.000000000
Rhopressa,348,640,293328.920000000,458.326437500,32.100000000
Precision 7,2091,2845,274778.930000000,96.583103691,22.270000000
Air Optix Color,135,223,192453.550000000,863.020403587,500.000000000
ORA,594,996,181391.660000000,182.120140562,23.390000000
Dailies Aqua Comfort Plus,438,683,173886.960000000,254.592913616,246.840000000
