product,specialty,providers,payments,total_amount,specialty_rank,product_rank
A.C.S (Alcon Closure System),Allopathic & Osteopathic Physicians|Ophthalmology,12,19,808.400000000,1,54
"ACRYSOF, IQ RESTOR",Eye and Vision Services Providers|Optometrist,17,26,1404.900000000,1,44
"ACRYSOF, IQ RESTOR",Allopathic & Osteopathic Physicians|Ophthalmology,13,30,1021.260000000,2,51
ACTIVEFOCUS,Allopathic & Osteopathic Physicians|Ophthalmology,42,51,875.160000000,1,52
ACTIVEFOCUS,Eye and Vision Services Providers|Optometrist,8,9,148.300000000,2,49
AIR OPTIX,Eye and Vision Services Providers|Optometrist,1586,5341,1151665.950000000,1,5
AIR OPTIX,Eye and Vision Services Providers|Optometrist|Corneal and Contact Management,54,230,38587.260000000,2,5
AIR OPTIX,Allopathic & Osteopathic Physicians|Ophthalmology,38,78,21852.550000000,3,39
AIR OPTIX,Eye and Vision Services Providers|Optometrist|Vision Therapy,5,7,2101.760000000,4,5
AIR OPTIX Aqua,Eye and Vision Services Providers|Optometrist,32,472,147452.730000000,1,15
ARGOS,Allopathic & Osteopathic Physicians|Ophthalmology,3698,11801,1164961.330000000,1,3
ARGOS,Eye and Vision Services Providers|Optometrist,718,1299,60059.570000000,2,22
ARGOS,Allopathic & Osteopathic Physicians|Ophthalmology|Cornea and External Diseases Specialist,74,167,14631.880000000,3,5
ARGOS,Allopathic & Osteopathic Physicians|Ophthalmology|Retina Specialist,48,86,10738.480000000,4,6
ARGOS,Allopathic & Osteopathic Physicians|Ophthalmology|Glaucoma Specialist,69,154,7411.370000000,5,10
ARGOS,Allopathic & Osteopathic Physicians|Ophthalmology|Pediatric Ophthalmology and Strabismus Specialist,5,20,1645.450000000,6,3
ARGOS,Allopathic & Osteopathic Physicians|Ophthalmology|Ophthalmic Plastic and Reconstructive Surgery,11,19,1424.030000000,7,3
ARGOS,Allopathic & Osteopathic Physicians|Family Medicine,8,8,717.210000000,9,4
ARGOS,Allopathic & Osteopathic Physicians|Ophthalmology|Neuro-ophthalmology,5,10,530.830000000,10,3
"Accurus, 25+, Alcon",Allopathic & Osteopathic Physicians|Ophthalmology,17,17,350.040000000,1,56
"Accurus, 25+, Alcon",Eye and Vision Services Providers|Optometrist,5,5,125.590000000,2,50
AcrySof,Allopathic & Osteopathic Physicians|Ophthalmology,1590,3002,604678.150000000,1,12
AcrySof,Allopathic & Osteopathic Physicians|Ophthalmology|Retina Specialist,24,43,15621.090000000,2,5
AcrySof,Eye and Vision Services Providers|Optometrist,241,284,13098.710000000,3,31
AcrySof,Allopathic & Osteopathic Physicians|Internal Medicine,31,63,4432.320000000,4,4
AcrySof,Allopathic & Osteopathic Physicians|Ophthalmology|Cornea and External Diseases Specialist,22,41,3785.330000000,5,11
AcrySof,Allopathic & Osteopathic Physicians|Ophthalmology|Ophthalmic Plastic and Reconstructive Surgery,8,14,985.030000000,7,5
AcrySof IQ PanOptix,Allopathic & Osteopathic Physicians|Ophthalmology,3591,8837,1088585.830000000,1,4
AcrySof IQ PanOptix,Eye and Vision Services Providers|Optometrist,1356,1844,110160.680000000,2,17
AcrySof IQ PanOptix,Allopathic & Osteopathic Physicians|Ophthalmology|Cornea and External Diseases Specialist,41,101,16456.640000000,3,4
AcrySof IQ PanOptix,Allopathic & Osteopathic Physicians|Ophthalmology|Glaucoma Specialist,62,116,5030.930000000,4,12
AcrySof IQ PanOptix,Allopathic & Osteopathic Physicians|Ophthalmology|Retina Specialist,52,79,4547.250000000,5,10
AcrySof IQ PanOptix,Allopathic & Osteopathic Physicians|General Practice,13,19,1193.560000000,8,3
AcrySof IQ PanOptix,Allopathic & Osteopathic Physicians|Ophthalmology|Pediatric Ophthalmology and Strabismus Specialist,7,8,413.830000000,11,5
AcrySof IQ PanOptix UV IOL,Allopathic & Osteopathic Physicians|Ophthalmology,1760,3460,816485.210000000,1,9
AcrySof IQ PanOptix UV IOL,Eye and Vision Services Providers|Optometrist,562,711,42609.790000000,2,27
AcrySof IQ PanOptix UV IOL,Allopathic & Osteopathic Physicians|Ophthalmology|Cornea and External Diseases Specialist,32,77,40768.190000000,3,2
AcrySof IQ PanOptix UV IOL,Allopathic & Osteopathic Physicians|Ophthalmology|Glaucoma Specialist,27,49,3219.720000000,4,13
AcrySof IQ PanOptix UV IOL,Eye and Vision Services Providers|Optometrist|Corneal and Contact Management,17,18,1248.540000000,5,17
AcrySof IQ PanOptix UV IOL,Allopathic & Osteopathic Physicians|Anesthesiology,7,9,304.650000000,9,5
AcrySof IQ TORIC IOL,Allopathic & Osteopathic Physicians|Ophthalmology,25,25,4749.740000000,1,45
AcrySof IQ VIVITY,Allopathic & Osteopathic Physicians|Ophthalmology,1192,1952,551593.140000000,1,13
AcrySof IQ VIVITY,Eye and Vision Services Providers|Optometrist,286,355,22504.510000000,2,29
AcrySof IQ VIVITY,Allopathic & Osteopathic Physicians|Ophthalmology|Cornea and External Diseases Specialist,31,49,7814.860000000,3,10
AcrySof IQ VIVITY,Allopathic & Osteopathic Physicians|Ophthalmology|Glaucoma Specialist,33,43,1791.230000000,4,15
AcrySof IQ VIVITY,Allopathic & Osteopathic Physicians|Ophthalmology|Retina Specialist,14,19,830.170000000,5,17
AcrySof IQ VIVITY IOL,Allopathic & Osteopathic Physicians|Ophthalmology,2383,4336,700077.010000000,1,10
AcrySof IQ VIVITY IOL,Eye and Vision Services Providers|Optometrist,781,938,59745.510000000,2,23
AcrySof IQ VIVITY IOL,Allopathic & Osteopathic Physicians|Ophthalmology|Cornea and External Diseases Specialist,37,67,12880.050000000,3,6
AcrySof IQ VIVITY IOL,Allopathic & Osteopathic Physicians|Ophthalmology|Glaucoma Specialist,39,70,11782.290000000,4,8
AcrySof IQ VIVITY IOL,Allopathic & Osteopathic Physicians|Internal Medicine,26,49,4442.700000000,5,3
AcrySof IQ VIVITY IOL,"Physician Assistants & Advanced Practice Nursing Providers|Nurse Anesthetist, Certified Registered",10,11,243.420000000,10,5
AcrySof Toric Aspheric UV Absorbing IOL,Allopathic & Osteopathic Physicians|Ophthalmology,31,74,97900.420000000,1,23
AcrySof UltraSert,Allopathic & Osteopathic Physicians|Ophthalmology,48,58,4455.240000000,1,46
Acrysof Cachet,Allopathic & Osteopathic Physicians|Ophthalmology,7,9,283.980000000,1,57
"Acrysof, IQ ReSTOR",Allopathic & Osteopathic Physicians|Ophthalmology,29,96,2901.020000000,1,48
"Acrysof, IQ ReSTOR",Eye and Vision Services Providers|Optometrist,22,34,1499.630000000,2,43
Air Optix Color,Eye and Vision Services Providers|Optometrist,125,211,180078.550000000,1,11
Air Optix Color,Eye and Vision Services Providers|Optometrist|Corneal and Contact Management,5,7,4000.000000000,2,10
Air Optix plus HydraGlyde,Eye and Vision Services Providers|Optometrist,80,84,16201.430000000,1,30
Alcon Greishaber Finesse,Allopathic & Osteopathic Physicians|Ophthalmology,6,8,31482.200000000,1,35
Argos 1.5 biometer,Allopathic & Osteopathic Physicians|Ophthalmology,29,36,708.160000000,1,55
Blephex,Eye and Vision Services Providers|Optometrist,28,53,126241.360000000,1,16
Blephex,Allopathic & Osteopathic Physicians|Ophthalmology,14,15,5278.580000000,2,44
Capella Aberrometer,Allopathic & Osteopathic Physicians|Ophthalmology,12,44,44170.000000000,1,31
Centurion,Allopathic & Osteopathic Physicians|Ophthalmology,3274,7170,866127.390000000,1,8
Centurion,Allopathic & Osteopathic Physicians|Ophthalmology|Glaucoma Specialist,75,123,24532.160000000,2,5
Centurion,Eye and Vision Services Providers|Optometrist,144,179,12097.120000000,3,33
Centurion,Allopathic & Osteopathic Physicians|Ophthalmology|Retina Specialist,42,70,8627.580000000,4,8
Centurion,Allopathic & Osteopathic Physicians|Ophthalmology|Cornea and External Diseases Specialist,72,150,8538.660000000,5,9
Centurion,Allopathic & Osteopathic Physicians|Internal Medicine,62,120,4072.060000000,6,5
Centurion,Allopathic & Osteopathic Physicians|Ophthalmology|Pediatric Ophthalmology and Strabismus Specialist,11,20,1613.210000000,7,4
Centurion,"Physician Assistants & Advanced Practice Nursing Providers|Nurse Anesthetist, Certified Registered",35,53,1005.310000000,8,3
Centurion,Allopathic & Osteopathic Physicians|Surgery,8,10,602.580000000,9,2
Centurion,Allopathic & Osteopathic Physicians|Family Medicine,8,12,508.660000000,10,5
Centurion,Allopathic & Osteopathic Physicians|Anesthesiology,12,19,445.030000000,12,3
Centurion,Allopathic & Osteopathic Physicians|Ophthalmology|Neuro-ophthalmology,5,7,441.320000000,13,4
Centurion,Allopathic & Osteopathic Physicians|General Practice,12,16,415.920000000,15,4
Clareon,Allopathic & Osteopathic Physicians|Ophthalmology,7820,34438,3366883.390000000,1,2
Clareon,Eye and Vision Services Providers|Optometrist,2759,4744,280572.910000000,2,8
Clareon,Allopathic & Osteopathic Physicians|Ophthalmology|Cornea and External Diseases Specialist,175,794,185514.520000000,3,1
Clareon,Allopathic & Osteopathic Physicians|Ophthalmology|Glaucoma Specialist,201,707,52236.020000000,4,3
