specialty,unique_prescribers,unique_drugs,total_prescriptions,total_payments,total_patients,avg_cost_per_prescription,avg_payments_per_provider
Allopathic & Osteopathic Physicians|Ophthalmology,18028,68,7970914.000000000,1742978966.748413000,6401759.000000000,256.800745229,96681.770953429
Allopathic & Osteopathic Physicians|General Practice,30970,68,4294767.000000000,928216647.020332000,3446607.000000000,254.997663299,29971.477139823
Allopathic & Osteopathic Physicians|Internal Medicine,77534,68,3655762.000000000,723925920.448107000,2957021.000000000,235.478336556,9336.883437564
Eye and Vision Services Providers|Optometrist,33124,65,2695384.000000000,512162716.432337000,2216916.000000000,234.945998881,15461.982744606
Unknown,122146,69,1224439.000000000,178895265.267662000,1027817.000000000,184.476570569,1464.601913019
Allopathic & Osteopathic Physicians|Ophthalmology|Glaucoma Specialist,519,55,635850.000000000,160521644.299856000,510448.000000000,282.870836540,309290.258766582
Allopathic & Osteopathic Physicians|Family Medicine,57641,67,803547.000000000,121920972.789281000,663717.000000000,192.994518932,2115.177959947
Allopathic & Osteopathic Physicians|Pediatrics,26306,60,566455.000000000,93763548.353398000,472887.000000000,193.551214544,3564.340772196
Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Family,53433,65,503513.000000000,82515181.506435000,438603.000000000,196.835954819,1544.273791598
Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner,48193,65,486679.000000000,79803224.852632000,421919.000000000,194.966292873,1655.909050124
Allopathic & Osteopathic Physicians|Otolaryngology,7766,58,372878.000000000,69773045.537890000,300267.000000000,211.759869403,8984.425127207
Allopathic & Osteopathic Physicians|Ophthalmology|Retina Specialist,1488,60,320828.000000000,60605355.887427000,264672.000000000,226.536769166,40729.405838325
Physician Assistants & Advanced Practice Nursing Providers|Physician Assistant,31577,64,343928.000000000,54645344.152529000,288679.000000000,193.045839996,1730.542614958
Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Adult Health,20653,64,183285.000000000,26969869.851548000,156719.000000000,182.998645357,1305.857253259
Allopathic & Osteopathic Physicians|Ophthalmology|Cornea and External Diseases Specialist,385,57,129097.000000000,24924661.680847000,103371.000000000,234.842406788,64739.380989213
Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Pediatrics,6160,49,134407.000000000,24423389.527972000,118319.000000000,201.443156908,3964.835962333
Physician Assistants & Advanced Practice Nursing Providers|Physician Assistant|Medical,11216,62,120951.000000000,18186702.343302000,101438.000000000,187.389908374,1621.496285958
Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,1449,56,72898.000000000,16383060.601120000,60097.000000000,256.631296648,11306.460042181
Allopathic & Osteopathic Physicians|Otolaryngology|Pediatric Otolaryngology,523,29,59485.000000000,11523447.289733000,46538.000000000,213.622540835,22033.360018610
Allopathic & Osteopathic Physicians|Allergy & Immunology,3607,54,102106.000000000,11162648.715776000,83697.000000000,144.658778933,3094.718246680
