Full_Name,NPI,Primary_Specialty
Jeremy Tseng,1962965632,Surgery - General Surgery
Joseph Matthew Adkins,1841847720,Nurse - Nurse Practitioner
Jennifer Sullivan Merola,1194288787,Nurse - Nurse Practitioner
Steven Khang minh Vuu,1588127146,Other
Laura Cristina Mena albors,1417410085,Other
Simon Kabututwa,1437612975,Family Practice
Amy G Morgan,1730737511,Nurse - Nurse Practitioner
Amber Nicole Russo,1154979839,Nurse - Nurse Practitioner
Emmanuel C Okolo,1093363723,Nurse - Nurse Practitioner
Raul Vera-gimon,1770143752,Oncology - Medical Oncology
Angelica Medina pena,1073173118,Infectious Disease
Noor Bashar Albashir,1780247130,Physician Assistant
Jose Luis Vargas-massari,1306409784,General Practice
Andrew Lelchuk,1063073906,General Practice
Janki N Patel,1114580453,Nurse - Nurse Practitioner
Zain Khan,1619531878,Physical Medicine and Rehabilitation
Yuya Burkhart,1760046940,Emergency Medicine
Luke Bietila,1790349900,Physician Assistant
Zoe Rose Quinn-kelly,1841701125,Physician Assistant
Anthony Roig,1245731819,Anesthesiology - Certified Registered Nurse Anesthetist
Ana Julia Paye,1023529286,Nurse - Nurse Practitioner
Prejila Balakrishnan,1649774852,Nurse - Nurse Practitioner
Jenette Nicole Rosenlieb,1376045757,Nurse - Nurse Practitioner
Kushum Pokharel,1104328673,Nurse - Nurse Practitioner
Ling Tian,1215431127,Anesthesiology - Anesthesiologist
Meghan Garland,1427580042,Family Practice
Daniel Scott Swink,1437653466,Other
Erik Joseph Hunt,1619409265,Anesthesiology - Certified Registered Nurse Anesthetist
Daniel Paul High,1770088650,Critical Care (Intensivists)
Puja Kishor Solanki,1790280600,Internal Medicine
Darshini Yaksh Patel,1831694728,Internal Medicine
Barre Guillen,1326570797,Surgery - General Surgery
Hector Hugo Gonzalez,1629500129,Internal Medicine
Boris Borges ondarse,1124550553,Surgery - General Surgery
Alexandra Snyder,1356874788,Emergency Medicine
Atinuke Osinusi,1063945343,Family Practice
Nicholas William Pritchard,1760915110,Otolaryngology
Eugieneo Kandoth,1700319183,Internal Medicine
Mena Ayoub,1285167692,Internal Medicine
Sarah Kappus,1679036560,Emergency Medicine
Carlos Lopez,1427511328,Internal Medicine
Juliana Marie Cackovic,1609339316,Family Practice
