Primary_Specialty,unique_prescribers,total_prescriptions,total_payments,avg_payment,avg_cost_per_prescription,avg_prescriptions_per_provider
Internal Medicine,1909,35304362.000000000,2145479870.968686000,122.220977428,60.770957169,1.231367517
Family Practice,1332,39927625.000000000,2085471270.092459000,112.305743261,52.231287739,1.247781057
Nurse - Nurse Practitioner,2466,25827343.000000000,1584535683.700223000,123.491399573,61.351091504,1.205579949
Physician Assistant,1184,11740197.000000000,626677168.126468000,117.117268077,53.378760861,1.260539609
Oncology - Hematology/Oncology,129,759181.000000000,545981728.675686000,1278.723595993,719.172013888,1.193176157
Cardiology - Cardiologist,357,5502028.000000000,516431862.563087000,180.530435387,93.862092771,1.207545298
Endocrinology,63,1620945.000000000,450265864.455865000,527.694474734,277.779853392,1.309943463
Pulmonary Disease,152,2093062.000000000,447379993.124881000,456.203888741,213.744262294,1.582122022
Gastroenterology,238,1917242.000000000,369164791.676406000,394.756880221,192.549918934,1.331625197
Rheumatology,53,1190640.000000000,358045330.142466000,653.418662673,300.716698702,1.353061503
Neurology,196,1905853.000000000,286803982.340207000,296.644572752,150.485888649,1.268359185
Oncology - Medical Oncology,53,349784.000000000,278510911.286184000,1393.244212316,796.236852704,1.193993576
General Practice,198,5413464.000000000,261087337.456215000,85.741447428,48.229255326,1.322885721
Obstetrics/Gynecology,538,4493489.000000000,181973359.044939000,81.484269239,40.497119064,1.275815995
Infectious Disease,101,306045.000000000,180052006.528544000,1123.331128051,588.318732633,1.260362486
Pediatric Medicine,329,3934089.000000000,164705178.867454000,88.662046660,41.866154748,1.525546115
Cardiology - Interventional Cardiology,131,1751537.000000000,161897559.643985000,171.736880753,92.431709775,1.179886642
Psychiatry,161,2765921.000000000,128461110.305716000,92.610147742,46.444244180,1.265590868
Dermatology,94,968523.000000000,128240928.805568000,300.105140891,132.408759323,1.350356578
Urology,159,1652648.000000000,124530579.375542000,206.697648832,75.352149626,1.410556934
Nephrology,156,1171614.000000000,121653159.890549000,189.372913902,103.833822309,1.177339402
Ophthalmology,133,1063024.000000000,114044326.447843000,251.092215089,107.282927241,1.589057723
Cardiology - Cardiac Electrophysiology,52,434673.000000000,69703031.603332000,290.813414399,160.357398788,1.200677857
Emergency Medicine,894,4049834.000000000,62406679.591574000,34.259529658,15.409688296,1.198446276
Allergy/Immunology,29,449923.000000000,54087069.532804000,255.512159961,120.214057812,1.415404120
Anesthesiology - Anesthesiologist,455,1246395.000000000,46533020.354999000,85.157622613,37.334087793,1.524770898
