City,total_providers,bcbsmi_providers,providers_with_payments,payment_penetration_pct,total_payments,avg_payment,total_transactions,total_rx_cost,total_rx_count,hospital_count,area_type
Grand Rapids,9812,4921,3639,73.95,36293316.52,9973.430000000,160654,920021681.006120000,1132524.000000000,86,Urban
Troy,7291,3146,2497,79.37,32414517.45,12981.380000000,202825,902669495.486195000,1076993.000000000,46,Urban
Berkley,677,558,497,89.07,25993903.13,52301.620000000,64774,195926839.443990000,250292.000000000,7,Rural
Detroit,11808,4568,3031,66.35,24933838.26,8226.270000000,84406,491736872.031193000,530924.000000000,64,Urban
Ann Arbor,11776,3581,1673,46.72,20405378.14,12196.880000000,30933,233737869.568320000,257989.000000000,53,Urban
Grosse Pointe,2987,1643,1365,83.08,19258033.0,14108.450000000,127417,560612735.773000000,617370.000000000,3,Rural
Livonia,3400,609,538,88.34,12181722.79,22642.610000000,65979,171847448.103120000,232304.000000000,50,Urban
Dearborn,4788,1845,1499,81.25,9306552.76,6208.510000000,103972,288424021.351950000,353146.000000000,49,Urban
Saint Joseph,2188,951,801,84.23,8655366.54,10805.700000000,44649,195499687.342027000,238017.000000000,10,Rural
Saginaw,2695,1396,1058,75.79,8513337.27,8046.630000000,57651,537685572.976160000,574875.000000000,50,Urban
Chelsea,1007,752,421,55.98,5346628.53,12699.830000000,11476,195632794.741350000,207019.000000000,9,Rural
Kalamazoo,3785,1731,1266,73.14,5062238.14,3998.610000000,49102,350235724.898650000,422562.000000000,20,Urban
Big Rapids,1652,808,686,84.9,4933341.46,7191.460000000,32369,333298136.621520000,345730.000000000,7,Rural
Grand Blanc,3734,1053,919,87.27,4879653.41,5309.740000000,69819,339764940.003280000,456041.000000000,30,Rural
Adrian,941,347,313,90.2,4849452.72,15493.460000000,26314,160223175.583010000,209296.000000000,14,Rural
South Haven,495,40,35,87.5,4427784.66,126508.130000000,2211,26418601.257850000,29229.000000000,2,Rural
Jackson,7700,1065,781,73.33,4058579.31,5196.640000000,51955,416597868.047920000,526121.000000000,29,Rural
Allegan,486,359,285,79.39,3776014.36,13249.170000000,21709,236685992.846450000,246457.000000000,4,Rural
Royal Oak,8946,1444,1099,76.11,3772168.68,3432.360000000,52782,197395861.183450000,171339.000000000,16,Urban
Lansing,3332,775,646,83.35,3350536.22,5186.590000000,45633,156020320.936730000,178543.000000000,51,Urban
Monroe,2184,857,731,85.3,3117572.2,4264.800000000,43151,175401079.653360000,237862.000000000,21,Rural
Farmington Hills,4430,544,448,82.35,3104194.66,6929.010000000,34049,106528204.655860000,138762.000000000,36,Urban
Mount Clemens,1104,149,133,89.26,2722670.6,20471.210000000,10037,37742460.956690000,47419.000000000,8,Rural
Battle Creek,2453,666,474,71.17,2572616.58,5427.460000000,23244,150540875.868230000,191526.000000000,18,Urban
Houghton,2405,946,615,65.01,2227889.18,3622.580000000,14878,248802767.766310000,294535.000000000,4,Rural
Ypsilanti,2421,692,326,47.11,2075161.59,6365.530000000,10152,50267123.450830000,60649.000000000,22,Rural
Flint,2207,808,634,78.47,2018695.16,3184.060000000,38590,212238538.678670000,253222.000000000,73,Urban
Romeo,192,92,83,90.22,1871730.76,22550.970000000,7666,51054386.985570000,64593.000000000,2,Rural
Warren,1706,300,223,74.33,1866164.81,8368.450000000,14844,81002826.228835000,105189.000000000,33,Urban
Muskegon,1171,145,105,72.41,1785524.05,17004.990000000,3106,7860817.848170000,10664.000000000,13,Rural
Traverse City,2467,693,530,76.48,1780784.35,3359.970000000,17831,103272347.569050000,107404.000000000,51,Rural
Iron Mountain,570,246,176,71.54,1712729.07,9731.420000000,6028,46270425.400690000,47080.000000000,8,Rural
Southgate,333,72,60,83.33,1495406.92,24923.450000000,6159,27818650.442290000,38855.000000000,11,Rural
East Lansing,2244,438,360,82.19,1382387.39,3839.960000000,19701,40562679.300750000,28511.000000000,25,Urban
Madison Heights,577,205,162,79.02,1328396.59,8199.980000000,18955,109188423.841384000,169640.000000000,11,Rural
Holland,7499,678,484,71.39,1235072.76,2551.800000000,13398,74337144.922840000,103474.000000000,11,Urban
Marlette,185,17,16,94.12,1233478.67,77092.420000000,2481,6424145.055600000,7987.000000000,1,Rural
Bay City,2245,309,260,84.14,1141015.39,4388.520000000,11698,68201372.331840000,71741.000000000,19,Rural
Midland,2185,661,428,64.75,1093801.97,2555.610000000,10895,115525144.757180000,132298.000000000,20,Rural
Novi,2590,466,334,71.67,1053921.2,3155.450000000,10362,65402976.651310000,83003.000000000,27,Urban
Commerce Township,1160,196,171,87.24,944810.51,5525.210000000,8597,25000750.462840000,33389.000000000,10,Rural
Port Huron,887,220,185,84.09,894046.95,4832.690000000,16633,100731145.095080000,123522.000000000,16,Rural
Reed City,941,30,27,90.0,841247.64,31157.320000000,2561,18159539.816020000,22447.000000000,2,Rural
Birmingham,109,44,37,84.09,809901.42,21889.230000000,1364,2319291.303460000,2892.000000000,11,Urban
Petoskey,835,112,95,84.82,805394.11,8477.830000000,6662,17815318.345900000,20667.000000000,13,Rural
Canton,268,28,25,89.29,730218.41,29208.740000000,1066,1160790.900400000,1643.000000000,21,Rural
Rochester,1546,146,96,65.75,672493.15,7005.140000000,4449,17403783.970430000,23205.000000000,8,Rural
Southfield,2283,212,174,82.08,668233.52,3840.420000000,13226,57552384.592600000,73483.000000000,50,Urban
Dowagiac,134,53,39,73.58,635030.03,16282.820000000,2965,22694552.883640000,28399.000000000,2,Rural
Eaton Rapids,202,90,81,90.0,634617.69,7834.790000000,8349,49540562.256490000,58219.000000000,2,Rural
