Facility_Name,City,total_providers,bcbsmi_providers,bcbsmi_coverage_pct,providers_analyzed,providers_with_payments,payment_penetration_pct,total_payments,avg_payment_per_provider,max_provider_payment,total_transactions,avg_manufacturers_per_provider,total_rx_cost,total_rx_count,unique_drugs,top_drugs,max_drug_prescribers,payment_intensity_score,payment_penetration_score,prescription_volume_score,provider_concentration_score,composite_risk_score,risk_rank,risk_category
Bronson South Haven Hospital (FKA South Haven Community Hospital),South Haven,480,430,89.58,38,33,86.84,4426160.39,134126.072424242,4317704.69,2186,8.86842105263158,26418601.25785,29229.0,7,"TRULICITY: $7M, OZEMPIC: $5.8M, ELIQUIS: $5.6M",21,30.0,26.052000000000003,0.9424902279975054,17.915999999999997,74.91049022799751,1.0,High
Corewell Health Beaumont Grosse Pointe Hospital (AKA Beaumont Hospital - Grosse Pointe),Grosse Pointe,2967,2716,91.54,1641,1363,83.06,18991566.36,13933.651034483,4882592.56,126868,11.825106642291283,560612735.773,617370.0,8,"TRULICITY: $125.5M, ELIQUIS: $114.6M, OZEMPIC: $111.2M",941,3.116541948028732,24.918,20.0,18.308000000000003,66.34254194802874,2.0,High
Advanced Physical Therapy (FKA Hands on Physical Therapy Inc),Berkley,586,556,94.88,531,471,88.7,25855355.64,54894.597961783,4442860.9,61133,14.354048964218453,189761803.49469,243173.0,8,"OZEMPIC: $49.3M, TRULICITY: $45.1M, JARDIANCE: $38.4M",393,12.278283476791346,26.61,6.7697999487306415,18.976,64.634083425522,3.0,High
Marlette Regional Hospital,Marlette,184,173,94.02,17,16,94.12,1233478.67,77092.416875,1175226.38,2481,13.058823529411766,6424145.0556,7987.0,6,"TRULICITY: $2.8M, ELIQUIS: $1.3M, JARDIANCE: $1.1M",14,17.243273171637195,28.236,0.22918298660275982,18.804,64.51245615823996,4.0,High
Beaumont Home Health Services,Troy,1261,1258,99.76,823,686,83.35,7002006.57,10207.006661808,1050433.64,61495,12.315917375455644,424663860.35896,555495.0,8,"TRULICITY: $104.2M, ELIQUIS: $98.9M, JARDIANCE: $86.1M",743,2.283002807132787,25.004999999999995,15.1499897615923,19.952,62.38999256872509,5.0,High
ABF Home Health Services,Mount Clemens,34,34,100.0,34,32,94.12,1972542.16,61641.9425,361633.12,2715,8.147058823529411,5725429.68022,7255.0,7,"TRULICITY: $2M, ELIQUIS: $1.2M, OZEMPIC: $1.1M",27,13.78746310524011,28.236,0.20425614028641362,20.0,62.22771924552652,6.0,High
Center for Physical Rehabilitation Inc,Grand Rapids,565,517,91.5,272,206,75.74,15121467.21,73405.180631068,13932683.07,6841,4.404411764705881,76573813.32208,102861.0,8,"TRULICITY: $28.5M, OZEMPIC: $14.2M, ELIQUIS: $13.4M",189,16.4185484531792,22.721999999999998,2.731790001755715,18.3,60.1723384549349,7.0,High
Associated Retinal Consultants PC,Southgate,27,25,92.59,25,23,92.0,1415946.57,61562.894347826,485178.74,2037,12.720000000000002,0.0,0.0,0,0,0,13.769782392442385,27.6,0.0,18.518,59.88778239244239,8.0,Medium
Associated Dermatologists,West Bloomfield,11,11,100.0,11,11,100.0,424427.07,38584.279090909,287694.09,4220,31.545454545454547,1540081.1343,184.0,3,"STELARA: $1.5M, HUMIRA: $0M",8,8.630151854935386,30.0,0.05494278085482526,20.0,58.68509463579021,9.0,Medium
Elara Caring Home Health - Jackson (FKA Great Lakes Caring Home Health - Jackson),Jackson,1579,1544,97.78,570,441,77.37,3658748.65,8296.482199546,535445.98,41660,11.59122807017544,371180788.3089,468163.0,8,"TRULICITY: $107M, OZEMPIC: $83.1M, ELIQUIS: $71.6M",505,1.8556754961043258,23.211000000000002,13.241967747917746,19.556,57.864643244022076,10.0,Medium
County of Washtenaw Community Mental Health,Ypsilanti,22,19,86.36,18,18,100.0,851910.76,47328.375555556,839699.91,1612,7.888888888888889,0.0,0.0,0,0,0,10.585945305068483,30.0,0.0,17.272000000000002,57.85794530506848,11.0,Medium
Corewell Health Big Rapids Hospital (FKA Spectrum Health Big Rapids Hospital),Big Rapids,1514,1360,89.83,777,658,84.68,4896817.57,7441.971990881,556054.8,31332,7.254826254826254,329994301.866,338853.0,8,"ELIQUIS: $104.7M, STELARA: $71.4M, TRULICITY: $54.7M",513,1.6645470615158193,25.404000000000003,11.772629510850761,17.966,56.807176572366586,12.0,Medium
Corewell Health Beaumont Troy Hospital (AKA Beaumont Hospital - Troy),Troy,4974,4545,91.38,1809,1439,79.55,20178880.45,14022.849513551,2695647.23,111362,9.543394140409069,304242499.80289,336830.0,8,"ELIQUIS: $70.5M, STELARA: $50.7M, TRULICITY: $49.7M",886,3.13649298606089,23.865,10.853927511417867,18.276,56.13142049747876,13.0,Medium
Ain Imaging PLC,Farmington Hills,17,17,100.0,17,17,100.0,443224.94,26072.055294118,170142.4,5232,27.352941176470583,3160311.79536,4196.0,5,"ELIQUIS: $2.3M, XARELTO: $0.7M, JARDIANCE: $0.1M",7,5.831540763749164,30.0,0.1127449161854095,20.0,55.944285679934566,14.0,Medium
