name_of_drug_or_biological_or_device_or_medical_supply_1,product_type,product_subcategory
Accurus Vit Equipment,Device,Surgical System
Constellation,Device,Surgical System
SMART Suite,Device,Surgical Instrument/Other
Systane,Drug,Lubricant Eye Drop
ReSTOR,Device,Intraocular Lens (IOL)
MARLO,Unknown,Other
EYSUVIS,Drug,Dry Eye Medication
Clareon Autonome IOL Injector,Device,Intraocular Lens (IOL)
TOTAL30,Device,Contact Lens
AcrySof UltraSert,Device,Intraocular Lens (IOL)
AcrySof IQ PanOptix UV IOL,Device,Intraocular Lens (IOL)
Rocklatan,Drug,Glaucoma Medication
ACTIVEFOCUS,Device,Surgical Instrument/Other
AcrySof IQ VIVITY,Device,Intraocular Lens (IOL)
Acrysof Cachet,Device,Intraocular Lens (IOL)
NGENUITY,Device,Diagnostic/Visualization
Opti-Free Express Contact Lens Solution,Device,Contact Lens Solution
Wavelight Refractive Suite,Device,Laser System
"Accurus, Alcon",Device,Surgical System
Air Optix plus HydraGlyde,Device,Contact Lens
Discovisc,Device,OVD
Azopt,Drug,Glaucoma Medication
rocklatan,Drug,Glaucoma Medication
Luxor,Device,Microscope
Digital Health Suite,Device,Surgical Instrument/Other
CyPass,Device,MIGS Device
HYDRUS Microstent,Device,MIGS Device
"Acrysof, IQ ReSTOR",Device,Intraocular Lens (IOL)
DAILIES Multifocal,Device,Contact Lens
CENTURION,Device,Surgical System
Clareon IOL Model C1000U,Device,Intraocular Lens (IOL)
LenSx,Device,Surgical System
Capella Aberrometer,Device,Diagnostic/Visualization
WaveLight EX500 Excimer Laser,Device,Laser System
ORA System VerifEye,Device,Diagnostic/Visualization
Duovisc,Device,OVD
DAILIES,Device,Contact Lens
Infiniti,Device,Surgical System
AIR OPTIX,Device,Contact Lens
AcrySof IQ TORIC IOL,Device,Intraocular Lens (IOL)
UltraSert,Device,Surgical Instrument/Other
Blephex,Device,MGD Treatment Device
FINESSE,Device,Surgical Instrument/Other
DT1 UV HEVL Toric,Device,Intraocular Lens (IOL)
Pataday,Drug,Allergy Medication
AIR OPTIX Aqua Multifocal,Device,Contact Lens
Verion,Device,Diagnostic/Visualization
Simbrinza,Drug,Glaucoma Medication
Air Optix Color,Device,Contact Lens
Clear Care,Device,Contact Lens Solution
Acrysof IQ ReSTOR IOL,Device,Intraocular Lens (IOL)
DAILIES TOTAL1,Device,Contact Lens
Capella Topographer,Device,Diagnostic/Visualization
Precision 1,Device,Contact Lens
rhopressa,Drug,Glaucoma Medication
AcrySof IQ VIVITY IOL,Device,Intraocular Lens (IOL)
Rhopressa,Drug,Glaucoma Medication
Alcon Closure Systems,Device,Surgical Instrument/Other
"Accurus, 25+, Alcon",Device,Surgical System
AcrySof Toric Aspheric UV Absorbing IOL,Device,Intraocular Lens (IOL)
FINESSE SHARKSKIN,Device,Surgical Instrument/Other
Alcon Greishaber Finesse,Device,Surgical Instrument/Other
ORA,Device,Diagnostic/Visualization
Centurion,Device,Surgical System
Viscoat,Device,OVD
Freshlook,Device,Contact Lens
ARGOS,Device,Diagnostic/Visualization
A.C.S (Alcon Closure System),Device,Surgical Instrument/Other
"ACRYSOF, IQ RESTOR",Device,Intraocular Lens (IOL)
Dailies Aqua Comfort Plus,Device,Contact Lens
AcrySof,Device,Intraocular Lens (IOL)
AcrySof IQ PanOptix,Device,Intraocular Lens (IOL)
Clareon,Device,Intraocular Lens (IOL)
Wavelight,Device,Laser System
Dailies Color,Device,Contact Lens
DAILIES TOTAL30,Device,Contact Lens
Precision 7,Device,Contact Lens
AIR OPTIX Aqua,Device,Contact Lens
Systane Complete,Drug,Lubricant Eye Drop
DAILIES TOTAL1 Multifocal,Device,Contact Lens
Argos 1.5 biometer,Device,Diagnostic/Visualization
ILUX,Device,MGD Treatment Device
Opti-Free,Device,Contact Lens Solution
Opti-Free Express,Device,Contact Lens Solution
