AFFILIATED_NAME,total_amount,avg_provider_payment,max_single_payment,provider_count,transaction_count,payment_concentration,transaction_intensity,amount_score,concentration_score,intensity_score,risk_score,risk_category
Retina Consultants of Minnesota (FKA the Retina Center),6318454.27,3159227.14,442222.81,2,29,3159227.135,14.5,40.0,30.0,4.012915129151291,74.0129151291513,High
Ovo Lasik & Lens,5516267.11,1838755.7,4125000.0,3,126,1838755.7033333334,42.0,34.92162401928724,17.46081200964362,11.623616236162361,64.00605226509323,High
Charles Retina Institute,3679952.7,613325.45,1000000.0,6,86,613325.4500000001,14.333333333333334,23.296537683100148,5.824134420775036,3.9667896678966788,33.08746177177186,Moderate
New York Eye Surgery Center,121595.72,24319.14,8370.0,5,542,24319.144,108.4,0.7697814358004368,0.230934430740131,30.0,31.000715866540567,Moderate
Professional Eye Care Center Inc,63409.05,63409.05,4770.0,1,100,63409.05,100.0,0.4014212798916087,0.6021319198374131,27.675276752767527,28.67882995249655,Moderate
Medina Vision and Laser Centre (AKA Medina Vision Centre Inc),45493.84,45493.84,3990.0,1,94,45493.84,94.0,0.28800613603238123,0.43200920404857185,26.014760147601475,26.734775487682427,Moderate
Flatbush Optical,1080.37,1080.37,25.0,1,71,1080.37,71.0,0.006839457587781195,0.010259186381671793,19.649446494464947,19.6665451384344,Low
Premier Family Eye Care,30164.54,30164.54,3990.0,1,61,30164.54,61.0,0.1909615150225658,0.28644227253384874,16.88191881918819,17.359322606744605,Low
Sokol Advanced Eyecare,19028.38,19028.38,2755.0,1,56,19028.38,56.0,0.12046224716919572,0.18069337075379358,15.498154981549815,15.799310599472804,Low
Petaluma Valley Hospital,84172.82,42086.41,13000.0,2,105,42086.41,52.5,0.53286969504331,0.3996522712824826,14.529520295202952,15.462042261528744,Low
Cornerstone Eye Center,774.17,774.17,34.91,1,50,774.17,50.0,0.004901008803217942,0.007351513204826914,13.837638376383763,13.849890898391807,Low
Hospital Pavia Santurce,67524.61,67524.61,17000.0,1,41,67524.61,41.0,0.4274755002697836,0.6412132504046754,11.346863468634686,12.415552219309145,Low
