manufacturer_name,manufacturer_id
"180 Medical, Inc.",100000010802
"3-D Matrix, Inc.",100001181902
"3B Medical, Inc.",100001341948
3D Systems,100000086404
3M Company,100000000301
3NT Medical,100000806829
3Shape A/S,100001281930
3Shape Inc,100001281928
3Shape Trios AS,100001281929
"410 MEDICAL, INC.",100000196851
4DMedical USA Inc,100001396986
"4WEB, INC.",100000010575
"4WEB, Inc.",100000010575
7D Surgical Inc.,100000241809
7D Surgical ULC,100000961855
"A-dec, Inc.",100000005393
ABANZA INC.,100001448156
ABB Con-Cise Optical Group LLC,100000000190
ABBVIE INC.,100000000204
"ABC Home Medical Supply, Inc.",100001096885
ABIOMED,100000010740
ACACIA PHARMA INC,100000966840
ACADIA Pharmaceuticals Inc,100000141529
"ACCORD HEALTHCARE, INC.",100000956826
"ACE Surgical Supply Co., Inc.",100000010411
"ACELL, INC.",100000046254
ACUMED LLC,100000000216
"ADC Therapeutics America, Inc.",100000961860
ADIR,100000291817
ADMA BioManufacturing LLC,100000231823
"AEGEA Medical, Inc.",100000191757
"AERAS, Inc.",100001346927
AERIN MEDICAL INC.,100000231819
AGEPHA Pharma FZ LLC,100001226925
"AI Therapeutics, Inc.",100000151558
"AIMMUNE THERAPEUTICS, INC.",100000776814
AKEBIA THERAPEUTICS INC,100000521827
"ALBIREO PHARMA, INC.",100001056884
"ALCRESTA THERAPEUTICS, INC.",100000196817
"ALK-Abello, Inc",100000010705
ALON MEDICAL TECHNOLOGY,100000221800
"AMAG Pharmaceuticals, Inc.",100000010948
"AMDT Holdings, Inc.",100000291828
"ANI Pharmaceuticals, Inc.",100000971883
APPLIED MEDICAL TECHNOLOGY INC,100000005443
APTEVO THERAPEUTICS INC,100000151575
"AQUESTIVE THERAPEUTICS, INC.",100000501813
"ARBOR PHARMACEUTICALS, INC.",100000005507
"ARENA PHARMACEUTICALS, INC.",100001136887
"ARGENX US, INC.",100001156891
"ARGON MEDICAL DEVICES, INC.",100000010702
ARKIS BIOSCIENCES INC,100000196870
"ARKRAY USA, Inc.",100000061353
ARRAY BIOPHARMA INC,100000231820
"ASAHI INTECC CO., LTD.",100000010825
"ASAHI INTECC USA, INC.",100000000111
"ASCEND THERAPEUTICS US, LLC",100000000129
"ASCEND Therapeutics US, LLC",100000000129
"ASD SPECIALTY HEALTHCARE, LLC",100000010920
"ASD Specialty Healthcare, LLC",100000010920
"ASPEN SURGICAL PRODUCTS, INC.",100000061294
"ATRICURE, INC.",100000005372
"AVITA MEDICAL AMERICAS, LLC",100000281816
AXOGEN,100000005414
"AYTU BioPharma, Inc.",100000151699
"Aadi Bioscience, Inc.",100001176922
AbbVie Inc.,100000000204
Abbott Laboratories,100000010680
"Ablative Solutions, Inc.",100000076383
