manufacturer_name,manufacturer_id
Acumed LLC,100000000216
"Aurobindo Pharma USA, Inc.",100000331808
"ASPEN SURGICAL PRODUCTS, INC.",100000061294
Analog Devices Inc.,100000846823
Almirall LLC,100000011034
"Alaska Medical Technologies, Llc",100001447321
Ascensia Diabetes Care US Inc.,100000151689
"Aimmune Therapeutics, Inc.",100000776814
"ACE Surgical Supply Co., Inc.",100000010411
Addivation Medical LLC,100000826830
"Alphatec Spine, Inc",100000011129
SMOKY MOUNTAIN SURGICAL LLC,100001201924
SCPHARMACEUTICALS INC.,100001326929
"Sonex Health, Inc.",100000796824
"SunTech Medical, Inc.",100000791819
Synthes USA Products LLC,100000005611
Strongbridge US INC.,100000181762
"SterilMed, Inc.",100000005447
"Sonavex, Inc.",100000521821
SEALONIX INC.,100001449597
"Cardiac Dimensions, Inc.",100001166891
CorMedix Inc.,100001448227
ConvaTec Inc.,100000000289
"CATALYST PHARMACEUTICALS, INC.",100000481813
"ChromaCode, Inc",100000826837
"Central California Surgical Distributors, LLC",100000010743
"Cynosure, LLC",100000136372
Catalyst OrthoScience,100000151617
"Clinigen, Inc.",100000506817
"Medspira, LLC",100000010923
MEDIVATION SERVICES LLC,100000211780
MITSUBISHI TANABE PHARMA CORPORATION,100000196799
"Mindray DS USA, Inc.",100000005486
Mevion_Medical_Systems_Inc,100000011220
"Mercury Enterprises, Inc.",100000011180
"McKesson Specialty Care Distribution, LLC",100000010520
BioMarin Pharmaceutical Inc.,100000010405
"Boehringer Ingelheim Pharmaceuticals, Inc.",100000000234
Boston Scientific Corporation,100000005674
Belluscura LLC,100000166744
Brahms GmbH,100000010785
Broncus Medical,100000646813
"Primo Medical Group, Inc. (f.k.a. STD Med Inc.)",100000011190
"PFM Medical, Inc.",100000046251
Photocure Inc,100000010742
"PolarityTE, Inc.",100000316815
"Pathway Medical Partners, LLC",100001296928
"InSightec,Inc",100000010911
Innovasis Inc,100000011214
Ignite Orthomotion LLC,100001351943
Immunocore Limited,100001176930
Ironshore Pharmaceuticals Inc.,100000601811
Elevate Surgical Co,100001076884
Elekta AB (publ),100001156892
ESSENTIAL DENTAL SYSTEMS INCORPORATED,100000005369
Edge Endo LLC,100000026244
Exact Sciences Corporation,100001341934
Novartis Pharma AG,100000000058
"NEW WORLD MEDICAL,INC.",100000010605
"Neurocrine BioSciences, Inc.",100000186746
"Nonin Medical, Inc.",100000010589
"Orthofix Medical, Inc.",100000216794
ORPHALAN INC,100001351950
ONY Biotech Inc.,100000010688
"Osseus Fusion Systems, LLC",100000000305
"Topcon Healthcare, Inc.",100000010645
"TG Therapeutics, Inc.",100000961857
"TEAM 1, LLC",100000181765
"TrackX Technology, Inc.",100000196818
"Visioneering Technologies, Inc.",100000136466
"VisionAir Solutions, LLC",100001449863
"Visant Medical, Inc.",100000316820
Vy Spine LLC,100000971867
"Ricoh USA, Inc",100000291824
"RTI Surgical, Inc",100000806853
"Rigicon,Inc.",100000436811
Delcath Systems,100001449062
DSM Biomedical,100000000322
Dentsply Sirona Inc,100000000185
"Grifols Diagnostic Solutions, Inc.",100000061352
"G Medical Diagnostic Services, Inc.",100000206771
"Global Blood Therapeutics, Inc.",100000771818
Ferring International Pharmascience Center US,100000005365
"F&A Foundation, LLC",100001176894
"FX Shoulder USA, Inc",100000281810
"Leadiant Biosciences, Inc.",100000011182
"L&K BIOMED CO. , LTD.",100001450127
Laboratory Corporation of America Holdings,100001176902
"HEARTFLOW, INC.",100000136368
Hoya Surgical Optics GmbH,100000011030
HRA Pharma,100000136415
Krystal Biotech Inc,100001346932
"Kyowa Kirin Pharmaceutical Development, Inc",100000501826
USA ANGELALIGN TECHNOLOGY CORP,100001351937
UPSHER-SMITH LABORATORIES LLC,100000005468
Jubilant HollisterStier LLC,100000011216
"Zap Surgical Systems, Inc.",100000741812
Whip Mix Corporation,100000005444
"410 MEDICAL, INC.",100000196851
QorumPartners,100001161894
