state,specialty_group,provider_count,pct_of_state
AL,Physician Assistant,7,58.33
AL,Internal Medicine,5,41.67
AR,Nurse,171,22.83
AR,Anesthesiology,67,8.95
AR,Surgery,65,8.68
AR,Family Practice,50,6.68
AR,Internal Medicine,45,6.01
AR,Cardiology,42,5.61
AR,Emergency Medicine,41,5.47
AR,Physician Assistant,39,5.21
AR,Radiology,35,4.67
AR,Hospitalist,23,3.07
AR,Gastroenterology,20,2.67
AR,Other,19,2.54
AR,Neurology,15,2.0
AR,Dermatology,13,1.74
AR,Obstetrics/Gynecology,12,1.6
AR,Pulmonary Disease,10,1.34
AR,Psychiatry,8,1.07
AR,Urology,8,1.07
AR,Endocrinology,7,0.93
AR,Pediatric Medicine,7,0.93
AR,Oncology,7,0.93
AR,Pathology,6,0.8
AR,Allergy/Immunology,6,0.8
AR,Otolaryngology,6,0.8
AR,Pain Management,6,0.8
AR,Ophthalmology,6,0.8
AR,Infectious Disease,5,0.67
AR,Physical Medicine and Rehabilitation,5,0.67
AR,Chiropractic,5,0.67
AZ,Nurse,552,20.99
AZ,Physician Assistant,314,11.94
AZ,Family Practice,185,7.03
AZ,Internal Medicine,183,6.96
AZ,Surgery,175,6.65
AZ,Emergency Medicine,149,5.67
AZ,Anesthesiology,135,5.13
AZ,Obstetrics/Gynecology,89,3.38
AZ,Hospitalist,86,3.27
AZ,Cardiology,83,3.16
AZ,Radiology,82,3.12
AZ,Neurology,79,3.0
AZ,Other,61,2.32
AZ,Pediatric Medicine,35,1.33
AZ,Podiatry,33,1.25
AZ,Gastroenterology,31,1.18
AZ,Critical Care (Intensivists),28,1.06
AZ,Pulmonary Disease,26,0.99
AZ,Psychology,26,0.99
AZ,Endocrinology,26,0.99
AZ,Oncology,23,0.87
AZ,Physical Medicine and Rehabilitation,21,0.8
AZ,Nephrology,20,0.76
AZ,Otolaryngology,19,0.72
AZ,Infectious Disease,19,0.72
AZ,Pathology,18,0.68
AZ,Ophthalmology,17,0.65
AZ,Urology,16,0.61
AZ,Psychiatry,15,0.57
AZ,Dermatology,14,0.53
AZ,Chiropractic,10,0.38
AZ,Pain Management,10,0.38
AZ,Therapy,10,0.38
AZ,Allergy/Immunology,7,0.27
AZ,Audiologist,6,0.23
AZ,Hospice and Palliative Care,6,0.23
AZ,General Practice,6,0.23
AZ,Neonatal-Perinatal Medicine,5,0.19
AZ,Rheumatology,5,0.19
AZ,Optometry,5,0.19
CA,Nurse,897,11.65
CA,Physician Assistant,881,11.44
CA,Family Practice,791,10.27
CA,Internal Medicine,539,7.0
CA,Surgery,537,6.97
CA,Anesthesiology,396,5.14
CA,Emergency Medicine,328,4.26
CA,Hospitalist,322,4.18
CA,Obstetrics/Gynecology,320,4.16
CA,Radiology,243,3.16
CA,Pediatric Medicine,242,3.14
CA,Other,224,2.91
CA,Cardiology,192,2.49
CA,Ophthalmology,152,1.97
CA,Podiatry,146,1.9
CA,Psychiatry,121,1.57
CA,Gastroenterology,107,1.39
CA,Neurology,88,1.14
CA,Oncology,87,1.13
CA,Otolaryngology,79,1.03
CA,Dermatology,76,0.99
CA,Urology,71,0.92
CA,Pulmonary Disease,64,0.83
CA,Therapy,61,0.79
CA,Pathology,60,0.78
CA,Nephrology,59,0.77
CA,General Practice,59,0.77
CA,Physical Medicine and Rehabilitation,55,0.71
CA,Critical Care (Intensivists),52,0.68
CA,Chiropractic,48,0.62
CA,Endocrinology,41,0.53
